Word,Meaning,Usage
Obstreperous,noisily and stubbornly defiant; willfully difficult to control,"When the teacher asked the obstreperous student simply to bus his tray, the student threw the entire tray on the floor, shouted an epithet, and walked out."
Subterfuge,Something intended to misrepresent the true nature of an activity,"Finally deciding to abandon all subterfuge, Arthur revealed to Cindy everything about his secret affair over the past two years."
Firebrand,someone who deliberately creates trouble,"Freddie is a firebrand: every time he walks into the office, he winds up at the center of heated argument."
Unpropitious,(of a circumstance) with little chance of success,"With only a bottle of water and a sandwich, the hikers faced an unpropitious task: ascending a huge mountain that took most two days to climb."
Cosset,treat with excessive indulgence,"The king and queen cosseted the young prince, giving him a prized pony for his fifth birthday."
Recrimination,mutual accusations,"The two brothers sat and cried, pointing fingers and making elaborate recriminations of the other’s guilt."
Spartan,unsparing and uncompromising in discipline or judgement; practicing great self-denial,"After losing everything in a fire, Tim decided to live in spartan conditions, sleeping on the floor and owning as little furniture as possible."
Peripatetic,travelling by foot,Jim always preferred a peripatetic approach to discovering a city: he felt that he could see so many more details while walking.
Dispensation,An exemption from a rule or obligation,"Since her father is a billionaire, she is given dispensation form many of the schools’ policies."
Imperious,having or showing arrogant superiority to and disdain of those one views as unworthy,Children are imperious with each other before they learn that earning someone’s respect is better than demanding.
Stalwart,dependable; inured to fatigue or hardships,"Despite all the criticism directed at the President during his scandal, Lisa has remained his stalwart supporter."
Dovetail,"fit together tightly, as if by means of an interlocking joint","Although Darwin’s evolution and Mendel’s genetics were developed in isolation from one another, they dovetail very well."
Puissant,powerful,"Over the years of service, and quite to his surprise, he became a puissant advisor to the community."
Hubris,overbearing pride or presumption,"Bill Clinton was criticized for his hubris, since he believed he could get away with anything once in the While House."
Inimitable,defying imitation; matchless,"Mozart’s music follows a clear pattern that, anyone could imitate, but his music gives an overall sense of effortlessness that is Inimitable."
Asperity,harshness of manner,"The editor was known for his asperity, often sending severe letters of rejection to amateur writers."
Presentiment,a feeling of evil to come,"On the night that Lincoln would be fatally shot, his wife had a presentiment about going to Ford’s Theater, but Lincoln persuaded her that everything would be fine."
Flippant,showing inappropriate levity,"Although Sam was trying to honor Mark’s sense of humor, many found it quite flippant that he wore a comic nose and glasses and glasses mask to Mark’s funeral."
Magisterial,offensively self-assured or given to exercising unwarranted power,"Though she was only a third grade teacher, Ms. Martinet was magisterial in dealing with her class, lording over them like a queen."
Invidious,likely to cause resentment,"At a time when many others in the office were about to be laid off, many considered Cheryl’s fine clothes that day an invidious display."
Lacerate,deeply hurt the feelings of; distress,The teacher was fired for lacerating a student who wrote a poor essay.
Ribald,humorously vulgar,"The speaker was famous for his ribald humor, but the high school principal asked him to keep the talk G-rated when he spoke to the student body."
Corollary,a practical consequence that follows naturally,"A corollary of Hurricane Sandy, which ravaged the east coast of the U.S., is a push to build higher sea walls to protect against future hurricanes."
Inviolate,must be kept sacred,"While the literary critic subjected most of the classics to the harshest reviews, he regarded Cervantes as inviolate, and had nothing but praise for him."
Tempestuous,as if driven by turbulent or conflicting emotions; highly energetic and wildly changing or fluctuating,"Chuck and Kathy had always been stable and agreeable people on their own, but when they got involved, it was a tempestuous relationship."
Denouement,the final resolution of the many strands of a literary or dramatic work; the outcome of a complex sequence of events,"At the denouement of the movie, all questions were answered, and the true identity of the robber was revealed."
Rarefied,made more subtle and refined,Jack’s vulgar jokes were not so successful in the rarefied environment of college professors.
Improvident,not given careful consideration,"Mary was improvident, never putting money aside for the future but spending it on decorating the interior of his home."
Machinate,"engage in plotting or enter into a conspiracy, swear together",The rebels met at night in an abandoned barn to machinate.
Hobble,to hold back the progress of something,"Bad weather, has hobbled rescue efforts, making it difficult for crews to find bodies in the wreckage."
Encumber,hold back,The costume encumbered all my movements and caused me to sweat profusely.
Unprepossessing,creating an unfavorable or neutral first impression,"World leaders coming to meet Gandhi would expect a towering sage, and often would be surprised by the unprepossessing little man dressed only in loincloth and shawl."
Bristle,react in an offended or angry manner,"As we discussed the painting, I noticed the artist’s wife bristling at our criticisms, ready to defend her husband’s work."
